Module                  Size  Used by
snd_pcm_dmaengine      16384  1 snd_soc_core
mac80211             1753088  1 iwlmvm
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
dell_smm_hwmon         32768  0
snd_hda_intel          61440  3
libarc4                12288  1 mac80211
intel_tcc_cooling      12288  0
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
coretemp               24576  0
snd_intel_dspcfg       36864  5 snd_soc_avs,snd_hda_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_skl
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
snd_hda_codec         204800  9 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek,snd_soc_hdac_hda,snd_soc_skl,snd_sof_intel_hda
snd_hda_core          139264  12 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek,snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_soc_skl,snd_sof_intel_hda
iwlwifi               606208  1 iwlmvm
kvm_intel             487424  0
i915                 4300800  49
snd_hwdep              20480  1 snd_hda_codec
snd_pcm               192512  13 snd_soc_avs,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_compress,snd_soc_core,snd_sof_utils,snd_soc_skl,snd_hda_core,snd_pcm_dmaengine
kvm                  1413120  1 kvm_intel
irqbypass              12288  1 kvm
crct10dif_pclmul       12288  1
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
drm_buddy              20480  1 i915
snd_seq_midi           24576  0
snd_seq_midi_event     16384  1 snd_seq_midi
sha1_ssse3             32768  0
snd_rawmidi            57344  1 snd_seq_midi
snd_seq               118784  2 snd_seq_midi,snd_seq_midi_event
cfg80211             1363968  3 iwlmvm,iwlwifi,mac80211
ttm                   110592  1 i915
aesni_intel           356352  9
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
rapl                   20480  0
intel_cstate           24576  0
drm_display_helper    237568  1 i915
snd_timer              49152  2 snd_seq,snd_pcm
cec                    94208  2 drm_display_helper,i915
rc_core                73728  1 cec
mei_me                 53248  2
snd                   143360  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
mei                   167936  5 mei_hdcp,mei_pxp,mei_me
dell_wmi               28672  1 dell_laptop
dell_smbios            32768  2 dell_wmi,dell_laptop
joydev                 32768  0
ledtrig_audio          12288  3 snd_ctl_led,dell_wmi,dell_laptop
sparse_keymap          12288  1 dell_wmi
wmi_bmof               12288  0
dcdbas                 20480  1 dell_smbios
dell_wmi_descriptor    16384  2 dell_wmi,dell_smbios
i2c_algo_bit           16384  1 i915
hid_multitouch         36864  0
at24                   28672  0
soundcore              16384  2 snd_ctl_led,snd
intel_xhci_usb_role_switch    12288  0
intel_pch_thermal      20480  0
intel_pmc_core        118784  0
acpi_pad              184320  0
intel_vsec             20480  1 intel_pmc_core
pmt_telemetry          16384  1 intel_pmc_core
pmt_class              12288  1 pmt_telemetry
dell_rbtn              20480  0
mac_hid                12288  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
ip_tables              32768  0
x_tables               65536  11 xt_conntrack,nft_compat,xt_LOG,xt_tcpudp,xt_addrtype,ip6t_rt,ipt_REJECT,ip_tables,xt_limit,xt_hl,ip6t_REJECT
autofs4                57344  2
rtsx_usb_sdmmc         36864  0
usbhid                 77824  0
rtsx_usb               32768  2 rtsx_usb_sdmmc,rtsx_usb_ms
hid_generic            12288  0
crc32_pclmul           12288  0
intel_lpss_pci         28672  0
intel_lpss             12288  1 intel_lpss_pci
i2c_hid_acpi           12288  0
psmouse               217088  0
r8169                 118784  0
ahci                   49152  2
i2c_i801               36864  0
xhci_pci               24576  0
realtek                36864  1
i2c_hid                40960  1 i2c_hid_acpi
i2c_smbus              16384  1 i2c_i801
xhci_pci_renesas       20480  1 xhci_pci
libahci                53248  1 ahci
idma64                 20480  0
hid                   180224  4 i2c_hid,usbhid,hid_multitouch,hid_generic
video                  77824  3 dell_wmi,dell_laptop,i915
wmi                    28672  6 video,dell_wmi,wmi_bmof,dell_smm_hwmon,dell_smbios,dell_wmi_descriptor
pinctrl_sunrisepoint    28672  0
